codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;116;GRAZZIOTIN S/A;TOT - TOLEDO 116;RUA BARAO DO RIO BRANCO;;2242;105;PR;4127700;55;0;;F;1;092012467011619;;;;4781400;5232;;;4781400;1;R;85900030;GRAZZIOTIN S A TOLEDO             
8;117;GRAZZIOTIN S/A;TOT - SOLEDADE 117;CORONEL FALKEMBACK;SALA 02 E 03;807;1175;RS;4320800;55;0;;F;1;092012467011708;;;;4759899;5232;;;4759899;1;R;99300000;GRAZZIOTIN S A SOLEDADE           
8;120;GRAZZIOTIN S/A;TOT - PASSO FUNDO 120;BRASIL LESTE;;925;5;RS;4314100;55;0;;F;1;092012467012003;;;;4759899;5232;;;4759899;1;AV;99050073;GRAZZIOTIN S A TOTTAL             
8;121;GRAZZIOTIN S/A;PRM - SAO BORJA 121;PRESIDENTE VARGAS;;1206;165;RS;4318002;55;0;;F;1;092012467012186;;;;4781400;5232;;;4781400;1;AV;97670000;GRAZZIOTIN S A SAO BORJA          
8;122;GRAZZIOTIN S/A;PRM - CHAPECO 122;AV.GETULIO DORNELLES VARGAS;N;389;249;SC;4204202;55;0;;F;1;092012467012267;;;;4781400;5232;;;4781400;1;R;89802000;GRAZZIOTIN S A CHAPECO            
8;124;GRAZZIOTIN S/A;PRM - SANTO ANGELO 124;VINTE CINCO DE JULHO;;400;176;RS;4317509;55;0;;F;1;092012467012429;;;;4781400;5232;;;4781400;1;R;98801670;GRAZZIOTIN S A SANTO ANGELO       
8;125;GRAZZIOTIN S/A;PRM - ERECHIM 125;NELSON EHLERS;LOJA TERREA;94;181;RS;4307005;55;0;;F;1;092012467012500;;;;4781400;5232;;;4781400;1;R;99700398;GRAZZIOTIN S A ERECHIM            
8;126;GRAZZIOTIN S/A;TOT - SANTA CRUZ DO SUL 126;RUA FERNANDO ABOTT;;545;126;RS;4316808;55;0;;F;1;092012467012690;;;;4759899;5232;;;4759899;1;R;96810148;GRAZZIOTIN S A SANTA CRUZ         
8;127;GRAZZIOTIN S/A;TOT - CAMAQUA 127;RUA MARECHAL FLORIANO;;1096;156;RS;4303509;55;0;;F;1;092012467012771;;;;4781400;5232;;;4781400;1;R;96180000;GRAZZIOTIN S A CAMAQUA            
8;128;GRAZZIOTIN S/A;TOT - SAO GABRIEL 128;MASCARENHAS DE MORAES;;781;160;RS;4318309;55;0;;F;1;092012467012852;;;;4759899;5232;;;4759899;1;R;97300370;GRAZZIOTIN S A SAO GABRIEL        
8;129;GRAZZIOTIN S/A;PRM - PALMEIRA DAS MISSOES 129;INDEPENDENCIA;;1375;130;RS;4313706;55;0;;F;1;092012467012933;;;;4781400;5232;;;4781400;1;AV;98300000;GRAZZIOTIN S A PAL.DAS MISSOES    
8;133;GRAZZIOTIN S/A;TOT - CURITIBANOS 133;ROTARY;;308;287;SC;4204806;55;0;;F;1;092012467013310;;;;4759899;5232;;;4759899;1;R;89520000;GRAZZIOTIN S A CURITIBANOS        
