codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;277215;08/11/1995;2;1;;;08/11/1995;277215;;1;N;1
8;1;277223;01/12/1995;2;1;;;01/12/1995;277223;;1;N;1
8;1;277240;04/12/1995;2;1;;;04/12/1995;277240;;1;N;1
8;1;277258;01/12/1995;2;1;;;01/12/1995;277258;;1;N;1
8;1;277266;05/12/1995;2;1;;;05/12/1995;277266;;1;N;1
8;1;277274;04/12/1995;2;1;;;04/12/1995;277274;;1;N;1
8;1;277282;04/12/1995;2;1;;;04/12/1995;277282;;1;N;1
8;1;277291;05/12/1995;2;1;;;05/12/1995;277291;;1;N;1
8;1;277304;05/12/1995;2;1;;;05/12/1995;277304;;1;N;1
8;1;277312;05/12/1995;2;1;;;05/12/1995;277312;;1;N;1
8;1;277321;04/12/1995;2;1;;;04/12/1995;277321;;1;N;1
8;1;277339;04/12/1995;2;1;;;04/12/1995;277339;;1;N;1
8;1;277347;04/12/1995;2;1;;;04/12/1995;277347;;1;N;1
8;1;277355;01/12/1995;2;1;;;01/12/1995;277355;;1;N;1
8;1;277363;04/12/1995;2;1;;;04/12/1995;277363;;1;N;1
8;1;277380;04/12/1995;2;1;;;04/12/1995;277380;;1;N;1
8;1;277398;04/12/1995;2;1;;;04/12/1995;277398;;1;N;1
8;1;277410;04/12/1995;2;1;;;04/12/1995;277410;;1;N;1
8;1;277428;04/12/1995;2;1;;;04/12/1995;277428;;1;N;1
8;1;277436;04/12/1995;2;1;;;04/12/1995;277436;;1;N;1
8;1;277444;04/12/1995;2;1;;;04/12/1995;277444;;1;N;1
8;1;277452;05/12/1995;2;1;;;05/12/1995;277452;;1;N;1
8;1;277461;04/12/1995;2;1;;;04/12/1995;277461;;1;N;1
8;1;277479;04/12/1995;2;1;;;04/12/1995;277479;;1;N;1
