ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;79;GERENTE DE LOJA C;GERENTE DE LOJA C;1414-15;2025-12-22;;;;
1;80;GERENTE DE LOJA D;GERENTE DE LOJA D;1414-15;2025-12-22;;;;
1;86;GERENTE LOJA POR MENOS A;GERENTE LOJA POR MENOS A;1414-15;2025-12-22;;;;
1;87;GERENTE LOJA POR MENOS B;GERENTE LOJA POR MENOS B;1414-15;2025-12-22;;;;
1;88;GERENTE LOJA POR MENOS C;GERENTE LOJA POR MENOS C;1414-15;2025-12-22;;;;
1;89;GERENTE LOJA POR MENOS D;GERENTE LOJA POR MENOS D;1414-15;2025-12-22;;;;
1;90;GERENTE ADJUNTO;GERENTE ADJUNTO;1414-15;2025-12-22;;;;
1;92;SUB-GERENTE LOJA B;SUB-GERENTE LOJA B;1414-15;2025-12-22;;;;
1;93;SUB-GERENTE LOJA C;SUB-GERENTE LOJA C;1414-15;2025-12-22;;;;
1;96;ESTAGIARIO GDA;ESTAGIARIO GDA;3541-25;2025-12-22;;;;
1;97;ANALISTA DE CREDITO;ANALISTA DE CREDITO;4102-25;2025-12-22;;;;
1;98;CHEFE DE VENDAS;CHEFE DE VENDAS;1414-15;2025-12-22;;;;
1;99;CHEFE DE ESCRITORIO;CHEFE DE ESCRITORIO;4101-05;2025-12-22;;;;
1;100;CHEFE DE FISCAL DE LOJA;CHEFE DE FISCAL DE LOJA;1414-15;2025-12-22;;;;
1;101;CHEFE DE CAIXA;CHEFE DE CAIXA;4211-25;2025-12-22;;;;
1;102;CAIXA GERAL ( LOJA );CAIXA GERAL ( LOJA );4211-25;2025-12-22;;;;
1;103;CAIXA (TOT);CAIXA (TOT);4211-25;2025-12-22;;;;
1;104;CAIXA (GRZ);CAIXA (GRZ);4211-25;2025-12-22;;;;
1;106;ENC.DISTR./MANUTENCAO;ENC.DISTR./MANUTENCAO;3423-15;2025-12-22;;;;
1;107;ENCARREGADO DISTRIBUICAO;ENCARREGADO DISTRIBUICAO;3423-15;2025-12-22;;;;
1;108;AUXILIAR DE VENDAS;AUXILIAR DE VENDAS;5211-10;2025-12-22;;;;
1;109;AUXILIAR ESCRITORIO;AUXILIAR ESCRITORIO;4110-05;2025-12-22;;;;
1;111;AUXILIAR ESCRITORIO (SENAC);AUXILIAR ESCRITORIO (SENAC);4110-05;2025-12-22;;;;
1;112;AUXILIAR DISTRIBUICAO (L);AUXILIAR DISTRIBUICAO (L);7832-10;2025-12-22;;;;
1;120;VENDEDOR MODA MASCULINA;VENDEDOR MODA MASCULINA;5211-10;2025-12-22;;;;
1;122;ORIENTADOR DE VENDA (GRZ);ORIENTADOR DE VENDA (GRZ);3541-25;2025-12-22;;;;
1;123;FISCAL DE LOJA;FISCAL DE LOJA;5211-10;2025-12-22;;;;
1;124;VENDEDOR FREE TECHBOX;VENDEDOR FREE TECHBOX;5211-10;2025-12-22;;;;
1;129;ARQUITETO;ARQUITETO;2141-10;2025-12-22;;;;
1;130;CHEFE DE SECAO CONTABILIDADE;CHEFE DE SECAO CONTABILIDADE;4101-05;2025-12-22;;;;
1;131;DIRETOR ADJUNTO (RH);DIRETOR ADJUNTO (RH);1232-05;2025-12-22;;;;
1;132;GERENTE REGIONAL TOTTAL;GERENTE REGIONAL TOTTAL;1421-05;2025-12-22;;;;
1;133;GERENTE REGIONAL GRAZZIOTIN;GERENTE REGIONAL GRAZZIOTIN;1421-05;2025-12-22;;;;
1;134;GERENTE REGIONAL FRANCO GIOR;GERENTE REGIONAL FRANCO GIOR;1421-05;2025-12-22;;;;
1;135;GERENTE REGIONAL POR MENOS;GERENTE REGIONAL POR MENOS;1421-05;2025-12-22;;;;
1;136;GERENTE REGIONAL ARRAZO;GERENTE REGIONAL ARRAZO;1421-05;2025-12-22;;;;
1;137;GERENTE DE SUPORTE;GERENTE DE SUPORTE;1425-30;2025-12-22;;;;
1;138;GERENTE DE PROGRAMACAO;GERENTE DE PROGRAMACAO;1421-05;2025-12-22;;;;
1;139;GERENTE DE INFORMATICA;GERENTE DE INFORMATICA;1421-05;2025-12-22;;;;
1;140;SUPERVISOR DE TI - INOVAÇÃO E;SUPERVISOR DE TI - INOVAÇÃO E DESENVOLVIMENTO;4121-20;2025-12-22;;;;
1;141;SUPERVISOR REGIONAL;SUPERVISOR REGIONAL;1421-05;2025-12-22;;;;
1;143;ENGENHEIRO SEG.DO TRABALHO;ENGENHEIRO SEG.DO TRABALHO;2149-15;2025-12-22;;;;
1;145;PROGRAMADOR;PROGRAMADOR;3171-10;2025-12-22;;;;
1;146;PROGRAMADOR II;PROGRAMADOR II;3171-10;2025-12-22;;;;
1;147;PROGRAMADOR III;PROGRAMADOR III;3171-10;2025-12-22;;;;
1;148;GERENTE DE PRODUTOS;GERENTE DE PRODUTOS;1417-05;2025-12-22;;;;
1;150;RECEPCIONISTA;RECEPCIONISTA;4221-05;2025-12-22;;;;
1;151;CHEFE DE DEPOSITO TECH BOX;CHEFE DE DEPOSITO TECH BOX;4101-05;2025-12-22;;;;
1;152;CHEFE DE RECRUTAMENTO E SELECA;CHEFE DE RECRUTAMENTO E SELECA;3513-15;2025-12-22;;;;
1;153;ASSESSOR DE DIRETORIA;ASSESSOR DE DIRETORIA;2523-05;2025-12-22;;;;
1;271;PROGRAMADOR IV;PROGRAMADOR IV;3171-10;2025-12-22;;;;
1;272;AUXILIAR DE PESSOAL;AUXILIAR DE PESSOAL;4110-30;2025-12-22;;;;
1;273;ZELADOR;ZELADOR;5141-20;2025-12-22;;;;
1;274;CONSELHO FISCAL;CONSELHO FISCAL;1210-10;2025-12-22;;;;
1;275;GERENTE DE CONTABILIDADE;GERENTE DE CONTABILIDADE;2522-10;2025-12-22;;;;
1;279;GERENTE OPERACIONAL FLORESTAL;GERENTE OPERACIONAL FLORESTAL;1411-10;2025-12-22;;;;
1;288;ENCARREGADA DE CARGOS E SALARI;ENCARREGADA DE CARGOS E SALARIOS;2524-05;2025-12-22;;;;
1;289;AUXILIAR DE ALMOXARIFADO III;AUXILIAR DE ALMOXARIFADO III;4141-05;2025-12-22;;;;
1;290;CHEFE ADMINISTRATIVO;CHEFE ADMINISTRATIVO;4101-05;2025-12-22;;;;
1;291;AGENTE OPERACIONAL DE QUALIDAD;AGENTE OPERACIONAL DE QUALIDADE;3912-15;2025-12-22;;;;
1;294;GERENTE LOJA POR MENOS E;GERENTE LOJA POR MENOS E;1414-15;2025-12-22;;;;
1;296;AUDITOR SENIOR;AUDITOR SENIOR;2522-05;2025-12-22;;;;
1;297;AUDITOR PLENO;AUDITOR PLENO;2522-05;2025-12-22;;;;
1;298;AUDITOR JUNIOR;AUDITOR JUNIOR;2522-05;2025-12-22;;;;
1;301;GERENTE DE DESIGNER DE MODA;GERENTE DE DESIGNER DE MODA;2624-25;2025-12-22;;;;
1;302;GERENTE GERAL;GERENTE GERAL;1414-15;2025-12-22;;;;
1;303;SUPERVISOR DE VENDAS;SUPERVISOR DE VENDAS;5201-10;2025-12-22;;;;
1;309;CONTROLLER;CONTROLLER;2522-10;2025-12-22;;;;
1;312;SUPERVISORA DE MARKETING;SUPERVISORA DE MARKETING;1423-15;2025-12-22;;;;
1;313;ASSISTENTE CONTABIL;ASSISTENTE CONTABIL;4131-10;2025-12-22;;;;
