COD_EMP;FIXO1;COD_CONTRATO;DATA_INICIO;COD_CLH;COD_FUN_CARGO;COD_MOTIVO
8;1;356611;10/12/2003;204;;100
6;1;374144;09/05/2005;128;;100
8;1;327964;02/07/2000;229;;100
8;1;327964;07/01/2000;122;;100
8;1;335908;02/05/2001;229;;100
8;1;335908;04/12/2000;204;;100
8;1;335916;04/12/2000;204;;100
8;1;344478;03/12/2001;204;;100
8;1;332739;01/10/2002;206;;100
8;1;332739;16/10/2000;210;;100
8;1;332747;01/05/2002;88;;100
8;1;332747;01/10/2001;206;;100
8;1;332747;16/10/2000;210;;100
8;1;332755;01/06/2002;206;;100
8;1;332755;16/10/2000;210;;100
8;1;333530;14/11/2000;204;;100
8;1;336947;05/02/2001;204;;100
8;1;341517;01/11/2001;204;;100
8;1;346209;01/10/2002;206;;421
8;1;346209;23/04/2002;210;;43
8;1;351903;02/12/2002;204;;100
8;1;357855;10/12/2003;204;;100
8;1;360759;10/12/2003;204;;100
8;1;363936;07/06/2004;206;;100
8;1;366382;19/10/2004;206;;100
8;1;369802;01/12/2004;204;;100
8;1;289698;06/02/2001;186;;100
8;1;289698;01/03/2000;99;;100
8;1;289698;01/09/1997;122;;100
8;1;289698;01/10/1996;109;;100
8;1;312630;01/11/2002;120;;100
8;1;331775;21/08/2000;186;;100
8;1;331848;28/08/2000;120;;100
8;1;331856;28/08/2000;120;;100
8;1;331864;28/08/2000;120;;100
8;1;332690;09/10/2000;120;;100
8;1;337625;23/03/2001;120;;100
8;1;340120;10/08/2001;120;;100
8;1;340359;01/09/2001;120;;100
8;1;345369;11/02/2002;120;;100
8;1;346969;01/07/2002;204;;100
8;1;348430;07/10/2002;120;;100
8;1;348465;14/10/2002;204;;100
8;1;328537;27/03/2001;120;;100
8;1;328537;10/08/2000;215;;100
8;1;328537;01/02/2000;108;;100
8;1;330280;22/05/2002;186;;100
8;1;330280;17/05/2000;120;;100
8;1;332658;27/03/2001;120;;100
8;1;332658;09/10/2000;122;;100
8;1;332763;17/10/2000;186;;100
8;1;337684;02/04/2001;120;;100
8;1;344320;12/12/2001;120;;100
8;1;348880;01/02/2004;186;;100
8;1;348880;01/11/2002;120;;100
8;1;354686;11/07/2003;120;;100
8;1;358541;02/02/2004;120;;100
8;1;358541;10/12/2003;204;;100
8;1;360481;01/12/2003;204;;100
8;1;363057;15/04/2004;120;;100
8;1;275697;01/11/2000;196;;100
8;1;275697;08/11/1996;229;;100
8;1;332550;02/10/2000;229;;43
8;1;335509;04/12/2000;204;;100
8;1;335517;04/12/2000;204;;100
8;1;344508;04/12/2001;204;;100
8;1;348236;01/10/2002;229;;100
8;1;351997;09/12/2002;204;;100
8;1;356549;10/12/2003;204;;100
8;1;356557;10/12/2003;204;;100
8;1;361593;06/02/2004;229;;100
8;1;368202;08/12/2004;204;;100
8;1;368210;10/12/2004;204;;100
8;1;339369;01/11/2003;88;;100
8;1;339369;01/10/2002;206;;100
8;1;339369;01/10/2001;210;;100
8;1;339369;03/07/2001;204;;100
8;1;355666;27/10/2003;206;;100
8;1;355674;27/10/2003;206;;100
8;1;355682;27/10/2003;206;;100
8;1;355690;27/10/2003;206;;43
8;1;360511;05/12/2003;204;;100
8;1;360627;01/12/2003;68;;100
8;1;369810;01/12/2004;204;;100
8;1;318299;06/05/2005;89;;100
8;1;318299;01/10/2002;206;;100
8;1;318299;12/01/2000;210;;100
8;1;318299;24/02/1999;213;;100
